"","Sexo","Grupos de edad","Periodo","Total"
"227","Mujeres","De 35 a 39 años",2020,"22,7"
"228","Mujeres","De 35 a 39 años",2019,"23,6"
"229","Mujeres","De 35 a 39 años",2018,"23,6"
"230","Mujeres","De 35 a 39 años",2017,"23,4"
"231","Mujeres","De 35 a 39 años",2016,"23,9"
"232","Mujeres","De 35 a 39 años",2015,"24,6"
"233","Mujeres","De 35 a 39 años",2014,"25,4"
"234","Mujeres","De 35 a 39 años",2013,"24,4"
"235","Mujeres","De 35 a 39 años",2012,"24,1"
"236","Mujeres","De 35 a 39 años",2011,"22,2"
"237","Mujeres","De 35 a 39 años",2010,"23,7"
"238","Mujeres","De 35 a 39 años",2009,"24,2"
"239","Mujeres","De 40 a 44 años",2022,"20,6"
"240","Mujeres","De 40 a 44 años",2021,"20,6"
"241","Mujeres","De 40 a 44 años",2020,"20,7"
"242","Mujeres","De 40 a 44 años",2019,"22,2"
"243","Mujeres","De 40 a 44 años",2018,"22,9"
"244","Mujeres","De 40 a 44 años",2017,"22,9"
"245","Mujeres","De 40 a 44 años",2016,"23,7"
"246","Mujeres","De 40 a 44 años",2015,"24,2"
"247","Mujeres","De 40 a 44 años",2014,"25,1"
"248","Mujeres","De 40 a 44 años",2013,"26,3"
"249","Mujeres","De 40 a 44 años",2012,"24,6"
"250","Mujeres","De 40 a 44 años",2011,"23,3"
"251","Mujeres","De 40 a 44 años",2010,"23,6"
"252","Mujeres","De 40 a 44 años",2009,"22,6"
"253","Mujeres","De 45 a 49 años",2022,"20"
"254","Mujeres","De 45 a 49 años",2021,"20,5"
"255","Mujeres","De 45 a 49 años",2020,"21,4"
"256","Mujeres","De 45 a 49 años",2019,"21,6"
"257","Mujeres","De 45 a 49 años",2018,"21,4"
"258","Mujeres","De 45 a 49 años",2017,"22,8"
"259","Mujeres","De 45 a 49 años",2016,"22,6"
"260","Mujeres","De 45 a 49 años",2015,"24,8"
"261","Mujeres","De 45 a 49 años",2014,"24,1"
"262","Mujeres","De 45 a 49 años",2013,"23,6"
"263","Mujeres","De 45 a 49 años",2012,"22,4"
"264","Mujeres","De 45 a 49 años",2011,"22,3"
"265","Mujeres","De 45 a 49 años",2010,"21,6"
"266","Mujeres","De 45 a 49 años",2009,"21"
"267","Mujeres","De 50 a 54 años",2022,"19,4"
"268","Mujeres","De 50 a 54 años",2021,"19,2"
"269","Mujeres","De 50 a 54 años",2020,"21,1"
"270","Mujeres","De 50 a 54 años",2019,"21,3"
"271","Mujeres","De 50 a 54 años",2018,"22"
"272","Mujeres","De 50 a 54 años",2017,"21,6"
"273","Mujeres","De 50 a 54 años",2016,"21,3"
"274","Mujeres","De 50 a 54 años",2015,"21,2"
"275","Mujeres","De 50 a 54 años",2014,"21,5"
"276","Mujeres","De 50 a 54 años",2013,"21,2"
"277","Mujeres","De 50 a 54 años",2012,"20,2"
"278","Mujeres","De 50 a 54 años",2011,"19,8"
"279","Mujeres","De 50 a 54 años",2010,"19,5"
"280","Mujeres","De 50 a 54 años",2009,"18,7"
"281","Mujeres","De 55 a 59 años",2022,"18,3"
"282","Mujeres","De 55 a 59 años",2021,"19,3"
"283","Mujeres","De 55 a 59 años",2020,"19,4"
"284","Mujeres","De 55 a 59 años",2019,"19,9"
"285","Mujeres","De 55 a 59 años",2018,"20,5"
"286","Mujeres","De 55 a 59 años",2017,"19,1"
"287","Mujeres","De 55 a 59 años",2016,"19,2"
"288","Mujeres","De 55 a 59 años",2015,"21"
"289","Mujeres","De 55 a 59 años",2014,"21,5"
"290","Mujeres","De 55 a 59 años",2013,"19,8"
"291","Mujeres","De 55 a 59 años",2012,"19,4"
"292","Mujeres","De 55 a 59 años",2011,"19,6"
"293","Mujeres","De 55 a 59 años",2010,"19,8"
"294","Mujeres","De 55 a 59 años",2009,"22,1"
"295","Mujeres","De 60 a 64 años",2022,"19"
"296","Mujeres","De 60 a 64 años",2021,"17,7"
"297","Mujeres","De 60 a 64 años",2020,"21,1"
"298","Mujeres","De 60 a 64 años",2019,"21,9"
"299","Mujeres","De 60 a 64 años",2018,"20,7"
"300","Mujeres","De 60 a 64 años",2017,"22"
"301","Mujeres","De 60 a 64 años",2016,"22,1"
"302","Mujeres","De 60 a 64 años",2015,"23,6"
"303","Mujeres","De 60 a 64 años",2014,"23,7"
"304","Mujeres","De 60 a 64 años",2013,"23,7"
"305","Mujeres","De 60 a 64 años",2012,"23,7"
"306","Mujeres","De 60 a 64 años",2011,"24"
"307","Mujeres","De 60 a 64 años",2010,"25,1"
"308","Mujeres","De 60 a 64 años",2009,"26,6"
"309","Mujeres","De 65 a 69 años",2022,"28,2"
"310","Mujeres","De 65 a 69 años",2021,"30"
"311","Mujeres","De 65 a 69 años",2020,"29,7"
"312","Mujeres","De 65 a 69 años",2019,"32,1"
"313","Mujeres","De 65 a 69 años",2018,"32,6"
"314","Mujeres","De 65 a 69 años",2017,"30,1"
"315","Mujeres","De 65 a 69 años",2016,"27,7"
"316","Mujeres","De 65 a 69 años",2015,"33,8"
"317","Mujeres","De 65 a 69 años",2014,"41,2"
"318","Mujeres","De 65 a 69 años",2013,"37,3"
"319","Mujeres","De 65 a 69 años",2012,"28,4"
"320","Mujeres","De 65 a 69 años",2011,"26,6"
"321","Mujeres","De 65 a 69 años",2010,"31,6"
"322","Mujeres","De 65 a 69 años",2009,"33,3"
"323","Mujeres","70 y más años",2022,"48,8"
"324","Mujeres","70 y más años",2021,"43,7"
"325","Mujeres","70 y más años",2020,"45,3"
"326","Mujeres","70 y más años",2019,"46,3"
"327","Mujeres","70 y más años",2018,"51,4"
"328","Mujeres","70 y más años",2017,"34,9"
"329","Mujeres","70 y más años",2016,"44,1"
"330","Mujeres","70 y más años",2015,"35,7"
"331","Mujeres","70 y más años",2014,"47"
"332","Mujeres","70 y más años",2013,"43,7"
"333","Mujeres","70 y más años",2012,"42"
"334","Mujeres","70 y más años",2011,"44,1"
"335","Mujeres","70 y más años",2010,"38,4"
"336","Mujeres","70 y más años",2009,"54,2"
