Edad,Sexo,Unidad,Periodo,Total
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T2,"2.332,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T1,"2.344,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T4,"2.387,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T3,"2.436,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T2,"2.442,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T1,"2.492,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T4,"2.537,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T3,"2.569,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T2,"2.606,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T1,"2.627,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T4,"2.666,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T3,"2.699,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T2,"2.738,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T1,"2.743,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T4,"2.808,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T3,"2.854,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T2,"2.878,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T1,"2.937,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T4,"2.965,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T3,"2.968,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T2,"3.017,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T1,"3.086,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T4,"3.106,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T3,"3.119,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T2,"3.145,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T1,"3.159,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T4,"3.173,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T3,"3.182,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T2,"3.182,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T1,"3.180,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T4,"3.205,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T3,"3.204,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T2,"3.195,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T1,"3.199,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T4,"3.205,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T3,"3.195,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T2,"3.186,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T1,"3.214,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T4,"3.202,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T3,"3.183,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T2,"3.161,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T1,"3.153,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T4,"3.160,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T3,"3.144,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T2,"3.092,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T1,"3.062,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T4,"3.020,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T3,"3.004,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T2,"2.956,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T1,"2.929,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T3,"2.471,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T2,"2.462,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T1,"2.429,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T4,"2.388,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T3,"2.389,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T2,"2.383,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T1,"2.372,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T4,"2.358,8"
