"","Provincia","Año_Trimestre","Transacciones"
"1277","Canarias"," 2012_1º","3719"
"1278","Canarias"," 2012_2º","3948"
"1279","Canarias"," 2012_3º","3006"
"1280","Canarias"," 2012_4º","4614"
"1281","Canarias"," 2013_1º","3176"
"1282","Canarias"," 2013_2º","4397"
"1283","Canarias"," 2013_3º","3196"
"1284","Canarias"," 2013_4º","4711"
"1285","Canarias"," 2014_1º","4486"
"1286","Canarias"," 2014_2º","4495"
"1287","Canarias"," 2014_3º","3778"
"1288","Canarias"," 2014_4º","5156"
"1289","Canarias"," 2015_1º","4433"
"1290","Canarias"," 2015_2º","5021"
"1291","Canarias"," 2015_3º","4854"
"1292","Canarias"," 2015_4º","5538"
"1293","Canarias"," 2016_1º","5535"
"1294","Canarias"," 2016_2º","6018"
"1295","Canarias"," 2016_3º","4935"
"1296","Canarias"," 2016_4º","5795"
"1297","Canarias"," 2017_1º","6320"
"1298","Canarias"," 2017_2º","7148"
"1299","Canarias"," 2017_3º","5936"
"1300","Canarias"," 2017_4º","6464"
"1301","Canarias"," 2018_1º","6484"
"1302","Canarias"," 2018_2º","7093"
"1303","Canarias"," 2018_3º","5709"
"1304","Canarias"," 2018_4º","5983"
"1305","Canarias"," 2019_1º","6105"
"1306","Canarias"," 2019_2º","6166"
"1307","Canarias"," 2019_3º","5134"
"1308","Canarias"," 2019_4º","7225"
"1309","Canarias"," 2020_1º","4843"
"1310","Canarias"," 2020_2º","2352"
"1311","Canarias"," 2020_3º","4636"
"1312","Canarias"," 2020_4º","5245"
"1313","Canarias"," 2021_1º","5204"
"1314","Canarias"," 2021_2º","6116"
"1315","Canarias"," 2021_3º","6002"
"1316","Canarias"," 2021_4º","7198"
"1317","Canarias"," 2022_1º","7693"
"1318","Canarias"," 2022_2º","8995"
"1319","Canarias"," 2022_3º","7553"
"1320","Canarias"," 2022_4º","6884"
"1321","Canarias"," 2023_1º","6940"
"1322","Canarias"," 2023_2º","7035"
"1323","Canarias"," 2023_3º (**)","5711"
"1324","Canarias"," 2004_1º","9163"
"1325","Canarias"," 2004_2º","10912"
"1326","Canarias"," 2004_3º","9452"
"1327","Canarias"," 2004_4º","11545"
"1328","Canarias"," 2005_1º","9526"
"1329","Canarias"," 2005_2º","10678"
"1330","Canarias"," 2005_3º","9421"
"1331","Canarias"," 2005_4º","11842"
"1332","Canarias"," 2006_1º","11175"
"1333","Canarias"," 2006_2º","11610"
"1334","Canarias"," 2006_3º","10386"
"1335","Canarias"," 2006_4º","11252"
"1336","Canarias"," 2007_1º","10746"
"1337","Canarias"," 2007_2º","11340"
"1338","Canarias"," 2007_3º","8866"
"1339","Canarias"," 2007_4º","8922"
"1340","Canarias"," 2008_1º","7475"
"1341","Canarias"," 2008_2º","6502"
"1342","Canarias"," 2008_3º","5550"
"1343","Canarias"," 2008_4º","5987"
"1344","Palmas (Las)"," 2009_1º","2353"
"1345","Palmas (Las)"," 2009_2º","2562"
"1346","Palmas (Las)"," 2009_3º","2088"
"1347","Palmas (Las)"," 2009_4º","2577"
"1348","Palmas (Las)"," 2010_1º","2039"
"1349","Palmas (Las)"," 2010_2º","2442"
"1350","Palmas (Las)"," 2010_3º","2271"
"1351","Palmas (Las)"," 2010_4º","3252"
"1352","Palmas (Las)"," 2011_1º","1753"
"1353","Palmas (Las)"," 2011_2º","1891"
"1354","Palmas (Las)"," 2011_3º","1631"
"1355","Palmas (Las)"," 2011_4º","1952"
"1356","Palmas (Las)"," 2012_1º","1952"
"1357","Palmas (Las)"," 2012_2º","2032"
"1358","Palmas (Las)"," 2012_3º","1606"
"1359","Palmas (Las)"," 2012_4º","2452"
"1360","Palmas (Las)"," 2013_1º","1573"
"1361","Palmas (Las)"," 2013_2º","2284"
"1362","Palmas (Las)"," 2013_3º","1651"
"1363","Palmas (Las)"," 2013_4º","2566"
"1364","Palmas (Las)"," 2014_1º","2178"
"1365","Palmas (Las)"," 2014_2º","2206"
"1366","Palmas (Las)"," 2014_3º","2017"
"1367","Palmas (Las)"," 2014_4º","2790"
"1368","Palmas (Las)"," 2015_1º","2378"
"1369","Palmas (Las)"," 2015_2º","2741"
"1370","Palmas (Las)"," 2015_3º","2668"
"1371","Palmas (Las)"," 2015_4º","2958"
"1372","Palmas (Las)"," 2016_1º","3133"
"1373","Palmas (Las)"," 2016_2º","3135"
"1374","Palmas (Las)"," 2016_3º","2666"
"1375","Palmas (Las)"," 2016_4º","3044"
"1376","Palmas (Las)"," 2017_1º","3179"
"1377","Palmas (Las)"," 2017_2º","3700"
"1378","Palmas (Las)"," 2017_3º","3242"
"1379","Palmas (Las)"," 2017_4º","3386"
"1380","Palmas (Las)"," 2018_1º","3370"
"1381","Palmas (Las)"," 2018_2º","3709"
"1382","Palmas (Las)"," 2018_3º","2902"
"1383","Palmas (Las)"," 2018_4º","3159"
"1384","Palmas (Las)"," 2019_1º","2988"
"1385","Palmas (Las)"," 2019_2º","3314"
"1386","Palmas (Las)"," 2019_3º","2690"
"1387","Palmas (Las)"," 2019_4º","3891"
"1388","Palmas (Las)"," 2020_1º","2488"
"1389","Palmas (Las)"," 2020_2º","1316"
"1390","Palmas (Las)"," 2020_3º","2450"
"1391","Palmas (Las)"," 2020_4º","2815"
"1392","Palmas (Las)"," 2021_1º","2832"
"1393","Palmas (Las)"," 2021_2º","3204"
"1394","Palmas (Las)"," 2021_3º","3160"
"1395","Palmas (Las)"," 2021_4º","3674"
"1396","Palmas (Las)"," 2022_1º","4300"
"1397","Palmas (Las)"," 2022_2º","4448"
"1398","Palmas (Las)"," 2022_3º","4044"
"1399","Palmas (Las)"," 2022_4º","3681"
"1400","Palmas (Las)"," 2023_1º","3770"
"1401","Palmas (Las)"," 2023_2º","3609"
"1402","Palmas (Las)"," 2023_3º (**)","3036"
"1403","Palmas (Las)"," 2004_1º","4458"
"1404","Palmas (Las)"," 2004_2º","5199"
"1405","Palmas (Las)"," 2004_3º","4875"
"1406","Palmas (Las)"," 2004_4º","5949"
"1407","Palmas (Las)"," 2005_1º","4673"
"1408","Palmas (Las)"," 2005_2º","5606"
"1409","Palmas (Las)"," 2005_3º","4852"
"1410","Palmas (Las)"," 2005_4º","6232"
"1411","Palmas (Las)"," 2006_1º","5496"
"1412","Palmas (Las)"," 2006_2º","5923"
"1413","Palmas (Las)"," 2006_3º","5049"
"1414","Palmas (Las)"," 2006_4º","5465"
"1415","Palmas (Las)"," 2007_1º","5740"
"1416","Palmas (Las)"," 2007_2º","5877"
"1417","Palmas (Las)"," 2007_3º","4788"
"1418","Palmas (Las)"," 2007_4º","5120"
"1419","Palmas (Las)"," 2008_1º","4217"
"1420","Palmas (Las)"," 2008_2º","3476"
"1421","Palmas (Las)"," 2008_3º","2627"
"1422","Palmas (Las)"," 2008_4º","3412"
"1423","Santa Cruz de Tenerife"," 2009_1º","1945"
"1424","Santa Cruz de Tenerife"," 2009_2º","2188"
"1425","Santa Cruz de Tenerife"," 2009_3º","2003"
"1426","Santa Cruz de Tenerife"," 2009_4º","2465"
"1427","Santa Cruz de Tenerife"," 2010_1º","2216"
"1428","Santa Cruz de Tenerife"," 2010_2º","2353"
"1429","Santa Cruz de Tenerife"," 2010_3º","1945"
"1430","Santa Cruz de Tenerife"," 2010_4º","3035"
"1431","Santa Cruz de Tenerife"," 2011_1º","1723"
"1432","Santa Cruz de Tenerife"," 2011_2º","1964"
"1433","Santa Cruz de Tenerife"," 2011_3º","1443"
"1434","Santa Cruz de Tenerife"," 2011_4º","1925"
"1435","Santa Cruz de Tenerife"," 2012_1º","1767"
"1436","Santa Cruz de Tenerife"," 2012_2º","1916"
"1437","Santa Cruz de Tenerife"," 2012_3º","1400"
"1438","Santa Cruz de Tenerife"," 2012_4º","2162"
"1439","Santa Cruz de Tenerife"," 2013_1º","1603"
"1440","Santa Cruz de Tenerife"," 2013_2º","2113"
"1441","Santa Cruz de Tenerife"," 2013_3º","1545"
"1442","Santa Cruz de Tenerife"," 2013_4º","2145"
"1443","Santa Cruz de Tenerife"," 2014_1º","2308"
"1444","Santa Cruz de Tenerife"," 2014_2º","2289"
"1445","Santa Cruz de Tenerife"," 2014_3º","1761"
"1446","Santa Cruz de Tenerife"," 2014_4º","2366"
"1447","Santa Cruz de Tenerife"," 2015_1º","2055"
"1448","Santa Cruz de Tenerife"," 2015_2º","2280"
"1449","Santa Cruz de Tenerife"," 2015_3º","2186"
"1450","Santa Cruz de Tenerife"," 2015_4º","2580"
"1451","Santa Cruz de Tenerife"," 2016_1º","2402"
"1452","Santa Cruz de Tenerife"," 2016_2º","2883"
"1453","Santa Cruz de Tenerife"," 2016_3º","2269"
"1454","Santa Cruz de Tenerife"," 2016_4º","2751"
"1455","Santa Cruz de Tenerife"," 2017_1º","3141"
"1456","Santa Cruz de Tenerife"," 2017_2º","3448"
"1457","Santa Cruz de Tenerife"," 2017_3º","2694"
"1458","Santa Cruz de Tenerife"," 2017_4º","3078"
"1459","Santa Cruz de Tenerife"," 2018_1º","3114"
"1460","Santa Cruz de Tenerife"," 2018_2º","3384"
"1461","Santa Cruz de Tenerife"," 2018_3º","2807"
"1462","Santa Cruz de Tenerife"," 2018_4º","2824"
"1463","Santa Cruz de Tenerife"," 2019_1º","3117"
"1464","Santa Cruz de Tenerife"," 2019_2º","2852"
"1465","Santa Cruz de Tenerife"," 2019_3º","2444"
"1466","Santa Cruz de Tenerife"," 2019_4º","3334"
"1467","Santa Cruz de Tenerife"," 2020_1º","2355"
"1468","Santa Cruz de Tenerife"," 2020_2º","1036"
"1469","Santa Cruz de Tenerife"," 2020_3º","2186"
"1470","Santa Cruz de Tenerife"," 2020_4º","2430"
"1471","Santa Cruz de Tenerife"," 2021_1º","2372"
"1472","Santa Cruz de Tenerife"," 2021_2º","2912"
"1473","Santa Cruz de Tenerife"," 2021_3º","2842"
"1474","Santa Cruz de Tenerife"," 2021_4º","3524"
"1475","Santa Cruz de Tenerife"," 2022_1º","3393"
"1476","Santa Cruz de Tenerife"," 2022_2º","4547"
"1477","Santa Cruz de Tenerife"," 2022_3º","3509"
"1478","Santa Cruz de Tenerife"," 2022_4º","3203"
"1479","Santa Cruz de Tenerife"," 2023_1º","3170"
"1480","Santa Cruz de Tenerife"," 2023_2º","3426"
"1481","Santa Cruz de Tenerife"," 2023_3º (**)","2675"
"1482","Santa Cruz de Tenerife"," 2004_1º","4705"
"1483","Santa Cruz de Tenerife"," 2004_2º","5713"
"1484","Santa Cruz de Tenerife"," 2004_3º","4577"
"1485","Santa Cruz de Tenerife"," 2004_4º","5596"
"1486","Santa Cruz de Tenerife"," 2005_1º","4853"
"1487","Santa Cruz de Tenerife"," 2005_2º","5072"
"1488","Santa Cruz de Tenerife"," 2005_3º","4569"
"1489","Santa Cruz de Tenerife"," 2005_4º","5610"
"1490","Santa Cruz de Tenerife"," 2006_1º","5679"
"1491","Santa Cruz de Tenerife"," 2006_2º","5687"
"1492","Santa Cruz de Tenerife"," 2006_3º","5337"
"1493","Santa Cruz de Tenerife"," 2006_4º","5787"
"1494","Santa Cruz de Tenerife"," 2007_1º","5006"
"1495","Santa Cruz de Tenerife"," 2007_2º","5463"
"1496","Santa Cruz de Tenerife"," 2007_3º","4078"
"1497","Santa Cruz de Tenerife"," 2007_4º","3802"
"1498","Santa Cruz de Tenerife"," 2008_1º","3258"
"1499","Santa Cruz de Tenerife"," 2008_2º","3026"
"1500","Santa Cruz de Tenerife"," 2008_3º","2923"
"1501","Santa Cruz de Tenerife"," 2008_4º","2575"
"1502","Cantabria"," 2009_1º","1921"
"1503","Cantabria"," 2009_2º","2413"
"1504","Cantabria"," 2009_3º","2201"
"1505","Cantabria"," 2009_4º","2317"
"1506","Cantabria"," 2010_1º","1842"
"1507","Cantabria"," 2010_2º","2995"
"1508","Cantabria"," 2010_3º","1185"
"1509","Cantabria"," 2010_4º","2373"
"1510","Cantabria"," 2011_1º","1164"
"1511","Cantabria"," 2011_2º","1596"
"1512","Cantabria"," 2011_3º","1231"
"1513","Cantabria"," 2011_4º","1603"
"1514","Cantabria"," 2012_1º","763"
"1515","Cantabria"," 2012_2º","1048"
"1516","Cantabria"," 2012_3º","1198"
"1517","Cantabria"," 2012_4º","1708"
"1518","Cantabria"," 2013_1º","483"
"1519","Cantabria"," 2013_2º","821"
"1520","Cantabria"," 2013_3º","754"
"1521","Cantabria"," 2013_4º","1075"
"1522","Cantabria"," 2014_1º","854"
"1523","Cantabria"," 2014_2º","954"
"1524","Cantabria"," 2014_3º","943"
"1525","Cantabria"," 2014_4º","1249"
"1526","Cantabria"," 2015_1º","917"
"1527","Cantabria"," 2015_2º","1216"
"1528","Cantabria"," 2015_3º","1229"
"1529","Cantabria"," 2015_4º","1298"
"1530","Cantabria"," 2016_1º","1050"
"1531","Cantabria"," 2016_2º","1419"
"1532","Cantabria"," 2016_3º","1237"
"1533","Cantabria"," 2016_4º","1544"
"1534","Cantabria"," 2017_1º","1306"
"1535","Cantabria"," 2017_2º","1688"
"1536","Cantabria"," 2017_3º","1533"
"1537","Cantabria"," 2017_4º","2111"
"1538","Cantabria"," 2018_1º","1397"
"1539","Cantabria"," 2018_2º","1920"
"1540","Cantabria"," 2018_3º","1782"
"1541","Cantabria"," 2018_4º","1973"
"1542","Cantabria"," 2019_1º","1626"
"1543","Cantabria"," 2019_2º","1899"
"1544","Cantabria"," 2019_3º","1675"
"1545","Cantabria"," 2019_4º","2050"
"1546","Cantabria"," 2020_1º","1519"
"1547","Cantabria"," 2020_2º","1073"
"1548","Cantabria"," 2020_3º","2003"
"1549","Cantabria"," 2020_4º","2302"
"1550","Cantabria"," 2021_1º","1794"
"1551","Cantabria"," 2021_2º","2475"
"1552","Cantabria"," 2021_3º","2708"
"1553","Cantabria"," 2021_4º","2703"
"1554","Cantabria"," 2022_1º","2205"
"1555","Cantabria"," 2022_2º","2735"
"1556","Cantabria"," 2022_3º","2192"
"1557","Cantabria"," 2022_4º","2277"
"1558","Cantabria"," 2023_1º","1908"
"1559","Cantabria"," 2023_2º","2332"
"1560","Cantabria"," 2023_3º (**)","1936"
"1561","Cantabria"," 2004_1º","2802"
"1562","Cantabria"," 2004_2º","3385"
"1563","Cantabria"," 2004_3º","3452"
"1564","Cantabria"," 2004_4º","3690"
"1565","Cantabria"," 2005_1º","3457"
"1566","Cantabria"," 2005_2º","4356"
"1567","Cantabria"," 2005_3º","3692"
"1568","Cantabria"," 2005_4º","3989"
"1569","Cantabria"," 2006_1º","3303"
"1570","Cantabria"," 2006_2º","4104"
"1571","Cantabria"," 2006_3º","3351"
"1572","Cantabria"," 2006_4º","3898"
"1573","Cantabria"," 2007_1º","3374"
"1574","Cantabria"," 2007_2º","3804"
"1575","Cantabria"," 2007_3º","3106"
"1576","Cantabria"," 2007_4º","3177"
"1577","Cantabria"," 2008_1º","2739"
"1578","Cantabria"," 2008_2º","2871"
"1579","Cantabria"," 2008_3º","2222"
"1580","Cantabria"," 2008_4º","2047"
"1581","Castilla y León"," 2009_1º","5869"
"1582","Castilla y León"," 2009_2º","6870"
"1583","Castilla y León"," 2009_3º","6505"
"1584","Castilla y León"," 2009_4º","7733"
"1585","Castilla y León"," 2010_1º","6978"
"1586","Castilla y León"," 2010_2º","9105"
"1587","Castilla y León"," 2010_3º","4715"
"1588","Castilla y León"," 2010_4º","9609"
"1589","Castilla y León"," 2011_1º","3887"
"1590","Castilla y León"," 2011_2º","4780"
"1591","Castilla y León"," 2011_3º","4643"
"1592","Castilla y León"," 2011_4º","6075"
"1593","Castilla y León"," 2012_1º","3676"
"1594","Castilla y León"," 2012_2º","4225"
"1595","Castilla y León"," 2012_3º","4207"
"1596","Castilla y León"," 2012_4º","7563"
"1597","Castilla y León"," 2013_1º","2246"
"1598","Castilla y León"," 2013_2º","3557"
"1599","Castilla y León"," 2013_3º","3422"
"1600","Castilla y León"," 2013_4º","4504"
"1601","Castilla y León"," 2014_1º","3726"
"1602","Castilla y León"," 2014_2º","4181"
"1603","Castilla y León"," 2014_3º","3995"
"1604","Castilla y León"," 2014_4º","5503"
"1605","Castilla y León"," 2015_1º","3867"
"1606","Castilla y León"," 2015_2º","4918"
"1607","Castilla y León"," 2015_3º","4347"
"1608","Castilla y León"," 2015_4º","5174"
"1609","Castilla y León"," 2016_1º","4565"
"1610","Castilla y León"," 2016_2º","5329"
"1611","Castilla y León"," 2016_3º","4759"
"1612","Castilla y León"," 2016_4º","5856"
"1613","Castilla y León"," 2017_1º","5485"
"1614","Castilla y León"," 2017_2º","5793"
"1615","Castilla y León"," 2017_3º","5235"
"1616","Castilla y León"," 2017_4º","6377"
"1617","Castilla y León"," 2018_1º","5946"
"1618","Castilla y León"," 2018_2º","6911"
"1619","Castilla y León"," 2018_3º","6217"
"1620","Castilla y León"," 2018_4º","6883"
"1621","Castilla y León"," 2019_1º","6356"
"1622","Castilla y León"," 2019_2º","6745"
"1623","Castilla y León"," 2019_3º","5905"
"1624","Castilla y León"," 2019_4º","6846"
"1625","Castilla y León"," 2020_1º","5306"
"1626","Castilla y León"," 2020_2º","3373"
"1627","Castilla y León"," 2020_3º","7404"
"1628","Castilla y León"," 2020_4º","7981"
"1629","Castilla y León"," 2021_1º","6895"
"1630","Castilla y León"," 2021_2º","8445"
"1631","Castilla y León"," 2021_3º","8188"
"1632","Castilla y León"," 2021_4º","9326"
"1633","Castilla y León"," 2022_1º","8299"
"1634","Castilla y León"," 2022_2º","9210"
"1635","Castilla y León"," 2022_3º","8419"
"1636","Castilla y León"," 2022_4º","8568"
"1637","Castilla y León"," 2023_1º","7618"
"1638","Castilla y León"," 2023_2º","8416"
"1639","Castilla y León"," 2023_3º (**)","7120"
"1640","Castilla y León"," 2004_1º","8586"
"1641","Castilla y León"," 2004_2º","10363"
"1642","Castilla y León"," 2004_3º","10467"
"1643","Castilla y León"," 2004_4º","11412"
"1644","Castilla y León"," 2005_1º","9524"
"1645","Castilla y León"," 2005_2º","11296"
"1646","Castilla y León"," 2005_3º","11028"
"1647","Castilla y León"," 2005_4º","12464"
"1648","Castilla y León"," 2006_1º","12268"
"1649","Castilla y León"," 2006_2º","13071"
"1650","Castilla y León"," 2006_3º","12278"
"1651","Castilla y León"," 2006_4º","14035"
"1652","Castilla y León"," 2007_1º","13224"
"1653","Castilla y León"," 2007_2º","12582"
"1654","Castilla y León"," 2007_3º","11452"
"1655","Castilla y León"," 2007_4º","11377"
"1656","Castilla y León"," 2008_1º","9817"
"1657","Castilla y León"," 2008_2º","8418"
"1658","Castilla y León"," 2008_3º","7732"
"1659","Castilla y León"," 2008_4º","7213"
"1660","Ávila"," 2009_1º","494"
"1661","Ávila"," 2009_2º","626"
"1662","Ávila"," 2009_3º","621"
"1663","Ávila"," 2009_4º","596"
"1664","Ávila"," 2010_1º","604"
"1665","Ávila"," 2010_2º","763"
"1666","Ávila"," 2010_3º","307"
"1667","Ávila"," 2010_4º","673"
"1668","Ávila"," 2011_1º","331"
"1669","Ávila"," 2011_2º","398"
"1670","Ávila"," 2011_3º","311"
"1671","Ávila"," 2011_4º","444"
"1672","Ávila"," 2012_1º","297"
"1673","Ávila"," 2012_2º","325"
"1674","Ávila"," 2012_3º","317"
"1675","Ávila"," 2012_4º","591"
"1676","Ávila"," 2013_1º","181"
"1677","Ávila"," 2013_2º","276"
"1678","Ávila"," 2013_3º","303"
"1679","Ávila"," 2013_4º","349"
"1680","Ávila"," 2014_1º","321"
"1681","Ávila"," 2014_2º","330"
"1682","Ávila"," 2014_3º","294"
"1683","Ávila"," 2014_4º","460"
"1684","Ávila"," 2015_1º","265"
"1685","Ávila"," 2015_2º","343"
"1686","Ávila"," 2015_3º","324"
"1687","Ávila"," 2015_4º","403"
"1688","Ávila"," 2016_1º","343"
"1689","Ávila"," 2016_2º","370"
"1690","Ávila"," 2016_3º","361"
"1691","Ávila"," 2016_4º","409"
"1692","Ávila"," 2017_1º","362"
"1693","Ávila"," 2017_2º","462"
"1694","Ávila"," 2017_3º","458"
"1695","Ávila"," 2017_4º","500"
"1696","Ávila"," 2018_1º","453"
"1697","Ávila"," 2018_2º","546"
"1698","Ávila"," 2018_3º","533"
"1699","Ávila"," 2018_4º","603"
"1700","Ávila"," 2019_1º","511"
"1701","Ávila"," 2019_2º","579"
"1702","Ávila"," 2019_3º","612"
"1703","Ávila"," 2019_4º","603"
"1704","Ávila"," 2020_1º","439"
"1705","Ávila"," 2020_2º","239"
"1706","Ávila"," 2020_3º","642"
"1707","Ávila"," 2020_4º","661"
"1708","Ávila"," 2021_1º","539"
"1709","Ávila"," 2021_2º","748"
"1710","Ávila"," 2021_3º","730"
"1711","Ávila"," 2021_4º","841"
"1712","Ávila"," 2022_1º","737"
"1713","Ávila"," 2022_2º","808"
"1714","Ávila"," 2022_3º","866"
"1715","Ávila"," 2022_4º","786"
"1716","Ávila"," 2023_1º","679"
"1717","Ávila"," 2023_2º","736"
"1718","Ávila"," 2023_3º (**)","688"
"1719","Ávila"," 2004_1º","542"
"1720","Ávila"," 2004_2º","708"
"1721","Ávila"," 2004_3º","623"
"1722","Ávila"," 2004_4º","772"
"1723","Ávila"," 2005_1º","618"
"1724","Ávila"," 2005_2º","913"
"1725","Ávila"," 2005_3º","776"
"1726","Ávila"," 2005_4º","910"
"1727","Ávila"," 2006_1º","914"
"1728","Ávila"," 2006_2º","1036"
"1729","Ávila"," 2006_3º","1186"
"1730","Ávila"," 2006_4º","1452"
"1731","Ávila"," 2007_1º","1182"
"1732","Ávila"," 2007_2º","1036"
"1733","Ávila"," 2007_3º","1018"
"1734","Ávila"," 2007_4º","911"
"1735","Ávila"," 2008_1º","832"
"1736","Ávila"," 2008_2º","971"
"1737","Ávila"," 2008_3º","736"
"1738","Ávila"," 2008_4º","817"
"1739","Burgos"," 2009_1º","1074"
"1740","Burgos"," 2009_2º","1230"
"1741","Burgos"," 2009_3º","996"
"1742","Burgos"," 2009_4º","1139"
"1743","Burgos"," 2010_1º","1041"
"1744","Burgos"," 2010_2º","1302"
"1745","Burgos"," 2010_3º","732"
"1746","Burgos"," 2010_4º","1560"
"1747","Burgos"," 2011_1º","494"
"1748","Burgos"," 2011_2º","797"
"1749","Burgos"," 2011_3º","876"
"1750","Burgos"," 2011_4º","908"
"1751","Burgos"," 2012_1º","558"
"1752","Burgos"," 2012_2º","698"
"1753","Burgos"," 2012_3º","745"
"1754","Burgos"," 2012_4º","1143"
"1755","Burgos"," 2013_1º","348"
"1756","Burgos"," 2013_2º","525"
"1757","Burgos"," 2013_3º","593"
"1758","Burgos"," 2013_4º","639"
"1759","Burgos"," 2014_1º","614"
"1760","Burgos"," 2014_2º","822"
"1761","Burgos"," 2014_3º","716"
"1762","Burgos"," 2014_4º","930"
"1763","Burgos"," 2015_1º","678"
"1764","Burgos"," 2015_2º","888"
"1765","Burgos"," 2015_3º","769"
"1766","Burgos"," 2015_4º","1022"
"1767","Burgos"," 2016_1º","794"
"1768","Burgos"," 2016_2º","898"
"1769","Burgos"," 2016_3º","717"
"1770","Burgos"," 2016_4º","1042"
"1771","Burgos"," 2017_1º","951"
"1772","Burgos"," 2017_2º","947"
"1773","Burgos"," 2017_3º","908"
"1774","Burgos"," 2017_4º","1082"
"1775","Burgos"," 2018_1º","957"
"1776","Burgos"," 2018_2º","1261"
"1777","Burgos"," 2018_3º","1064"
"1778","Burgos"," 2018_4º","1118"
"1779","Burgos"," 2019_1º","1156"
"1780","Burgos"," 2019_2º","1138"
"1781","Burgos"," 2019_3º","926"
"1782","Burgos"," 2019_4º","1162"
"1783","Burgos"," 2020_1º","869"
"1784","Burgos"," 2020_2º","621"
"1785","Burgos"," 2020_3º","1246"
"1786","Burgos"," 2020_4º","1444"
"1787","Burgos"," 2021_1º","1238"
"1788","Burgos"," 2021_2º","1559"
"1789","Burgos"," 2021_3º","1329"
"1790","Burgos"," 2021_4º","1598"
"1791","Burgos"," 2022_1º","1443"
"1792","Burgos"," 2022_2º","1626"
"1793","Burgos"," 2022_3º","1539"
"1794","Burgos"," 2022_4º","1436"
"1795","Burgos"," 2023_1º","1234"
"1796","Burgos"," 2023_2º","1559"
"1797","Burgos"," 2023_3º (**)","1123"
"1798","Burgos"," 2004_1º","939"
"1799","Burgos"," 2004_2º","1640"
"1800","Burgos"," 2004_3º","1685"
"1801","Burgos"," 2004_4º","1611"
"1802","Burgos"," 2005_1º","1390"
"1803","Burgos"," 2005_2º","1576"
"1804","Burgos"," 2005_3º","1501"
"1805","Burgos"," 2005_4º","2048"
"1806","Burgos"," 2006_1º","1959"
"1807","Burgos"," 2006_2º","1945"
"1808","Burgos"," 2006_3º","2049"
"1809","Burgos"," 2006_4º","2308"
"1810","Burgos"," 2007_1º","2434"
"1811","Burgos"," 2007_2º","2177"
"1812","Burgos"," 2007_3º","1958"
"1813","Burgos"," 2007_4º","1670"
"1814","Burgos"," 2008_1º","1268"
"1815","Burgos"," 2008_2º","1265"
"1816","Burgos"," 2008_3º","1462"
"1817","Burgos"," 2008_4º","1077"
"1818","León"," 2009_1º","972"
"1819","León"," 2009_2º","1119"
"1820","León"," 2009_3º","1107"
"1821","León"," 2009_4º","1357"
"1822","León"," 2010_1º","1202"
"1823","León"," 2010_2º","1743"
"1824","León"," 2010_3º","887"
"1825","León"," 2010_4º","1745"
"1826","León"," 2011_1º","694"
"1827","León"," 2011_2º","868"
"1828","León"," 2011_3º","861"
"1829","León"," 2011_4º","1128"
"1830","León"," 2012_1º","608"
"1831","León"," 2012_2º","657"
"1832","León"," 2012_3º","734"
"1833","León"," 2012_4º","1436"
"1834","León"," 2013_1º","404"
"1835","León"," 2013_2º","561"
"1836","León"," 2013_3º","570"
"1837","León"," 2013_4º","782"
"1838","León"," 2014_1º","648"
"1839","León"," 2014_2º","665"
"1840","León"," 2014_3º","628"
"1841","León"," 2014_4º","797"
"1842","León"," 2015_1º","670"
"1843","León"," 2015_2º","794"
"1844","León"," 2015_3º","720"
"1845","León"," 2015_4º","799"
"1846","León"," 2016_1º","696"
"1847","León"," 2016_2º","852"
"1848","León"," 2016_3º","878"
"1849","León"," 2016_4º","901"
"1850","León"," 2017_1º","868"
"1851","León"," 2017_2º","878"
"1852","León"," 2017_3º","805"
"1853","León"," 2017_4º","958"
"1854","León"," 2018_1º","879"
"1855","León"," 2018_2º","1041"
"1856","León"," 2018_3º","1048"
"1857","León"," 2018_4º","999"
"1858","León"," 2019_1º","984"
"1859","León"," 2019_2º","1083"
"1860","León"," 2019_3º","942"
"1861","León"," 2019_4º","1169"
"1862","León"," 2020_1º","836"
"1863","León"," 2020_2º","548"
"1864","León"," 2020_3º","1165"
"1865","León"," 2020_4º","1244"
"1866","León"," 2021_1º","1064"
"1867","León"," 2021_2º","1363"
"1868","León"," 2021_3º","1372"
"1869","León"," 2021_4º","1461"
"1870","León"," 2022_1º","1334"
"1871","León"," 2022_2º","1599"
"1872","León"," 2022_3º","1400"
"1873","León"," 2022_4º","1367"
"1874","León"," 2023_1º","1257"
"1875","León"," 2023_2º","1314"
"1876","León"," 2023_3º (**)","1324"
"1877","León"," 2004_1º","1386"
"1878","León"," 2004_2º","1743"
"1879","León"," 2004_3º","1778"
"1880","León"," 2004_4º","1985"
"1881","León"," 2005_1º","1563"
"1882","León"," 2005_2º","1680"
"1883","León"," 2005_3º","2096"
"1884","León"," 2005_4º","2273"
"1885","León"," 2006_1º","2102"
"1886","León"," 2006_2º","2134"
"1887","León"," 2006_3º","1930"
"1888","León"," 2006_4º","2441"
"1889","León"," 2007_1º","2545"
"1890","León"," 2007_2º","2442"
"1891","León"," 2007_3º","2301"
"1892","León"," 2007_4º","2394"
"1893","León"," 2008_1º","1872"
"1894","León"," 2008_2º","1522"
"1895","León"," 2008_3º","1283"
"1896","León"," 2008_4º","1279"
"1897","Palencia"," 2009_1º","344"
"1898","Palencia"," 2009_2º","426"
