Edad,Sexo,Unidad,Periodo,Total
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T3,"515,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T2,"556,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2016T1,"609,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T4,"599,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T3,"611,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T2,"628,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2015T1,"678,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T4,"681,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T3,"665,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T2,"700,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2014T1,"768,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T4,"773,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T3,"774,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T2,"824,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2013T1,"874,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T4,"854,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T3,"812,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T2,"792,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2012T1,"798,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T4,"727,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T3,"697,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T2,"697,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2011T1,"731,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T4,"712,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T3,"697,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T2,"690,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2010T1,"733,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T4,"692,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T3,"645,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T2,"625,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2009T1,"648,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T4,"516,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T3,"433,1"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T2,"370,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2008T1,"350,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T4,"311,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T3,"277,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T2,"257,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2007T1,"292,9"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T4,"310,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T3,"300,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T2,"317,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2006T1,"360,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T4,"340,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T3,"327,7"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T2,"356,4"
De 25 a 29 años,Ambos sexos,Valor absoluto,2005T1,"381,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T4,"382,6"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T3,"399,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T2,"409,3"
De 25 a 29 años,Ambos sexos,Valor absoluto,2004T1,"447,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T4,"440,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T3,"438,5"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T2,"428,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2003T1,"458,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T4,"441,8"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T3,"425,0"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T2,"410,2"
De 25 a 29 años,Ambos sexos,Valor absoluto,2002T1,"421,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T3,"286,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T2,"267,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2023T1,"327,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T4,"301,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T3,"289,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T2,"291,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2022T1,"320,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T4,"326,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T3,"344,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T2,"372,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T1,"394,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T4,"413,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T3,"432,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T2,"393,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T1,"358,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T4,"342,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T3,"348,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T2,"334,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T1,"344,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T4,"365,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T3,"370,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T2,"364,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T1,"414,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T4,"423,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T3,"397,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T2,"426,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T1,"455,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2016T4,"487,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2016T3,"495,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2016T2,"533,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2016T1,"564,4"
De 30 a 34 años,Ambos sexos,Valor absoluto,2015T4,"566,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2015T3,"576,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2015T2,"644,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2015T1,"714,6"
De 30 a 34 años,Ambos sexos,Valor absoluto,2014T4,"698,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2014T3,"692,2"
De 30 a 34 años,Ambos sexos,Valor absoluto,2014T2,"730,3"
De 30 a 34 años,Ambos sexos,Valor absoluto,2014T1,"803,1"
